"Timestamp","Your Name","Topic Title","Topic Abstract","Twitter handle","GitHub handle","Blog link"
"2017/03/22 11:19:01 AM MDT","Brandon Olin","Invoke-ChatOps: Using PoshBot in Slack","Demonstration of PoshBot, a new PowerShell-based bot framework that exposes module functions as bot commands in Slack.","@devblackops","devblackops","https://devblackops.io"
"2017/03/22 3:43:10 PM MDT","Michael T Lombardi","ScriptAsService: Deploy Looping Scripts as Services","I'll discuss the ScriptAsService project and using it to deploy scripts as signed binaries to servers for scheduling.","@barbariankb","michaeltlombardi","https://michaeltlombardi.gitlab.io"
"2017/03/22 3:50:52 PM MDT","Michael T Lombardi","Documentation: Do the Needful","I'll give a brief talk about documenting projects, why we should document more/better, and the minimum docs to include to boost user onboarding.","@barbariankb","michaeltlombardi","https://michaeltlombardi.gitlab.io"
"2017/03/22 3:52:00 PM MDT","Michael T Lombardi","GitLab CI: Get Running","Talk about using GitLab CI + PowerShell to Build/Deploy Projects","@barbariankb","michaeltlombardi","https://michaeltlombardi.gitlab.io"
"2017/03/22 4:22:38 PM MDT","Glenn Sarti","powershell@puppet.com","A quick talk about how I use powershell day-to-day at Puppet, which is mainly a ruby shop.  Also pull-back-the-curtain on Puppet's powershell integration with runspaces, pipes and future cross-platform support","@glennsarti","glennsarti","http://glennsarti.github.io"
"2017/03/22 4:48:14 PM MDT","Josh Rickard","PPRT: PowerShell Phishing Response Toolkit","I will be talking about a PowerShell Module I've created called PPRT (PowerShell Phishing Response Toolkit).  PPRT is designed to identify phishing website owners using RDAP (New Whois) and automate takedown notifications of received phishing attempts.","@MS_dministrator","MSAdministrator","MSAdministrator.com"
"2017/03/22 9:08:53 PM MDT","Josh Rickard","PoshOutlook","I will be talking about a project called PoshOutlook which is the beginning of wrapping Outlook's COM object into both a PowerShell Module as well as a PS5 Class(es).  It's still a work In progress, but I can share what it does and how it will work in a class implementation.","@MS_dministrator","MSAdministrator","MSAdministrator.com"
"2017/03/22 9:15:39 PM MDT","Josh Rickard","Design then Code","I will be talking about how we should create amazing tools and the best approach (IMO) to doing just that! Before we dive into a Module, we should first design what the functions should look like, how they should act, can you pipe values, etc. all of this functionality can be designed before we write a single line of code.","@MS_dministrator","MSAdministrator","MSAdministrator.com"
"2017/03/22 9:44:42 PM MDT","Joel Bennett","PowerLine: Custom prompts made easy","I'll be showing a module that not only makes it easy for users to stitch together information into a prompt, but actually makes it easy for modules to extend your prompt without breaking it...","@Jaykul","Jaykul","http://HuddledMasses.org/blog"
"2017/03/23 9:13:29 AM MDT","Rob Reynolds","Software Management Automation with Chocolatey","I'll be showing off how to create fully unattended software deployments in less than 10 seconds!","@ferventcoder","ferventcoder","https://codebetter.com/robreynolds"
"2017/03/24 6:10:41 AM MDT","Wesley Kirkland","Dynamic Code","I'll be talking about using code to write other code with specific logic conditions to make your programs truely dynamic","unleashthecloud","wesleykirkland",""
